LyrName,Type,InT(W),InT(H),InT(D),InDatatype,OutT(W),OutT(H),OutT(D),OutDatatype,WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtDatatype,Si,Sj,G,Activation Function,Parent Op,Num_Layers,Gflops,O/P Activation (MB),Weight (MB)
Conv_14_2,Convolution,1,1,6,Int8,1,1,144,Int8,1,1,1,864,Int8,1,1,1,BN ,Conv_14_1,1,1.73E-06,1.37E-04,8.24E-04
Sigmoid_14,Sigmoid,1,1,144,Int8,1,1,144,Int8,,,,,Int8,,,,,Conv_14_2,,,,
BroadCast Mul_14,BroadCast_Mul,1,1,144,Int8,28,28,144,Int8,,,,,Int8,,,,,"Sigmoid_14, Conv_DW_13",,,,
Conv_15,Convolution,28,28,144,Int8,28,28,40,Int8,1,1,1,5760,Int8,1,1,1,"BN, Swish",BroadCast Mul_14,1,9.03E-03,2.99E-02,5.49E-03
Conv_16,Convolution,28,28,40,Int8,28,28,240,Int8,1,1,1,9600,Int8,1,1,1,"BN, Swish",Conv_15,1,1.51E-02,1.79E-01,9.16E-03
Conv_DW_17,Convolution_DW,28,28,240,Int8,28,28,240,Int8,3,3,1,240,Int8,1,1,240,"BN, Swish",Conv_16,1,3.39E-03,1.79E-01,2.06E-03
AvgPool_18_1,AvgPool,28,28,240,Int8,1,1,240,Int8,,,,,Int8,1,1,1,,Conv_DW_17,,,,
Conv_18_1,Convolution,1,1,240,Int8,1,1,10,Int8,1,1,1,2400,Int8,1,1,1,"BN, Swish",AvgPool_18_1,1,4.80E-06,9.54E-06,2.29E-03
Conv_18_2,Convolution,1,1,10,Int8,1,1,240,Int8,1,1,1,2400,Int8,1,1,1,BN ,Conv_18_1,1,4.80E-06,2.29E-04,2.29E-03
Sigmoid_18,Sigmoid,1,1,240,Int8,1,1,240,Int8,,,,,Int8,,,,,Conv_18_2,,,,
BroadCast Mul_18,BroadCast_Mul,1,1,240,Int8,28,28,240,Int8,,,,,Int8,,,,,"Sigmoid_10, Conv_9",,,,
Conv_19,Convolution,28,28,240,Int8,28,28,40,Int8,1,1,1,9600,Int8,1,1,1,BN,BroadCast Mul_18,1,1.51E-02,2.99E-02,9.16E-03
Add_19,Add,28,28,40,Int8,28,28,40,Int8,,,,,Int8,,,,,"Conv_19, Conv_15",,,,
Conv_20,Convolution,28,28,40,Int8,28,28,240,Int8,1,1,1,9600,Int8,1,1,1,"BN, Swish",Add_19,1,1.51E-02,1.79E-01,9.16E-03
Conv_DW_21,Convolution_DW,28,28,240,Int8,14,14,240,Int8,3,3,1,240,Int8,2,2,240,"BN, Swish",Conv_20,1,8.47E-04,4.49E-02,2.06E-03
AvgPool_12_1,AvgPool,14,14,240,Int8,1,1,240,Int8,,,,,Int8,1,1,1,,Conv_DW_21,,,,
Conv_22_1,Convolution,1,1,240,Int8,1,1,10,Int8,1,1,1,2400,Int8,1,1,1,"BN, Swish",AvgPool_12_1,1,4.80E-06,9.54E-06,2.29E-03
Conv_22_2,Convolution,1,1,10,Int8,1,1,240,Int8,1,1,1,2400,Int8,1,1,1,BN ,Conv_22_1,1,4.80E-06,2.29E-04,2.29E-03
Sigmoid_22,Sigmoid,1,1,240,Int8,1,1,240,Int8,,,,,Int8,,,,,Conv_22_2,,,,
BroadCast Mul_22,BroadCast_Mul,1,1,240,Int8,14,14,240,Int8,,,,,Int8,,,,,"Sigmoid_22, Conv_",,,,
Conv_23,Convolution,14,14,240,Int8,14,14,80,Int8,1,1,1,19200,Int8,1,1,1,"BN, Swish",BroadCast Mul_22,1,7.53E-03,1.50E-02,1.83E-02
Conv_24,Convolution,14,14,80,Int8,14,14,480,Int8,1,1,1,38400,Int8,1,1,1,"BN, Swish",Conv_23,1,1.51E-02,8.97E-02,3.66E-02
Conv_DW_25,Convolution_DW,14,14,480,Int8,14,14,480,Int8,3,3,1,480,Int8,1,1,480,"BN, Swish",Conv_24,1,1.69E-03,8.97E-02,4.12E-03
AvgPool_26_1,AvgPool,14,14,480,Int8,1,1,480,Int8,,,,,Int8,1,1,1,,Conv_DW_25,,,,
Conv_26_1,Convolution,1,1,480,Int8,1,1,20,Int8,1,1,1,9600,Int8,1,1,1,"BN, Swish",AvgPool_26_1,1,1.92E-05,1.91E-05,9.16E-03
Conv_26_2,Convolution,1,1,20,Int8,1,1,480,Int8,1,1,1,9600,Int8,1,1,1,BN ,Conv_26_1,1,1.92E-05,4.58E-04,9.16E-03
Sigmoid_26,Sigmoid,1,1,480,Int8,1,1,480,Int8,,,,,Int8,,,,,Conv_26_2,,,,
BroadCast Mul_26,BroadCast_Mul,1,1,480,Int8,14,14,480,Int8,,,,,Int8,,,,,"Sigmoid_26, Conv_DW_25",,,,
Conv_27,Convolution,14,14,480,Int8,14,14,80,Int8,1,1,1,38400,Int8,1,1,1,BN,BroadCast Mul_26,1,1.51E-02,1.50E-02,3.66E-02
Add_27,Add,14,14,80,Int8,14,14,80,Int8,,,,,Int8,,,,,"Conv_27, Conv_23",,,,
Conv_29,Convolution,14,14,80,Int8,14,14,480,Int8,1,1,1,38400,Int8,1,1,1,"BN, Swish",Add_27,1,1.51E-02,8.97E-02,3.66E-02
Conv_DW_30,Convolution_DW,14,14,480,Int8,14,14,480,Int8,3,3,1,480,Int8,1,1,480,"BN, Swish",Conv_29,1,1.69E-03,8.97E-02,4.12E-03
AvgPool_31_1,AvgPool,14,14,480,Int8,1,1,480,Int8,,,,,Int8,1,1,1,,Conv_DW_30,,,,
Conv_31_1,Convolution,1,1,480,Int8,1,1,20,Int8,1,1,1,9600,Int8,1,1,1,"BN, Swish",AvgPool_31_1,1,1.92E-05,1.91E-05,9.16E-03
Conv_31_2,Convolution,1,1,20,Int8,1,1,480,Int8,1,1,1,9600,Int8,1,1,1,BN ,Conv_31_1,1,1.92E-05,4.58E-04,9.16E-03
Sigmoid_31,Sigmoid,1,1,480,Int8,1,1,480,Int8,,,,,Int8,,,,,Conv_31_2,,,,
BroadCast Mul_31,BroadCast_Mul,1,1,480,Int8,14,14,480,Int8,,,,,Int8,,,,,"Sigmoid_26, Conv_DW_25",,,,
Conv_32,Convolution,14,14,480,Int8,14,14,80,Int8,1,1,1,38400,Int8,1,1,1,BN,BroadCast Mul_31,1,1.51E-02,1.50E-02,3.66E-02
Add_32,Add,14,14,80,Int8,14,14,80,Int8,,,,,Int8,,,,,"Conv_27, Conv_23",,,,
Conv_33,Convolution,14,14,80,Int8,14,14,480,Int8,1,1,1,38400,Int8,1,1,1,"BN, Swish",Add_32,1,1.51E-02,8.97E-02,3.66E-02
Conv_DW_34,Convolution_DW,14,14,480,Int8,14,14,480,Int8,5,5,1,480,Int8,1,1,480,"BN, Swish",Conv_33,1,4.70E-03,8.97E-02,1.14E-02
AvgPool_35_1,AvgPool,14,14,480,Int8,1,1,480,Int8,,,,,Int8,1,1,1,,Conv_DW_34,,,,
Conv_35_1,Convolution,1,1,480,Int8,1,1,20,Int8,1,1,1,9600,Int8,1,1,1,"BN, Swish",AvgPool_35_1,1,1.92E-05,1.91E-05,9.16E-03
Conv_35_2,Convolution,1,1,20,Int8,1,1,480,Int8,1,1,1,9600,Int8,1,1,1,BN ,Conv_35_1,1,1.92E-05,4.58E-04,9.16E-03
Sigmoid_35,Sigmoid,1,1,480,Int8,1,1,480,Int8,,,,,Int8,,,,,Conv_35_2,,,,
BroadCast Mul_35,BroadCast_Mul,1,1,480,Int8,14,14,480,Int8,,,,,Int8,,,,,"Sigmoid_35, Conv_DW_34",,,,
Conv_36,Convolution,14,14,480,Int8,14,14,112,Int8,1,1,1,53760,Int8,1,1,1,BN,BroadCast Mul_35,1,2.11E-02,2.09E-02,5.13E-02
Conv_37,Convolution,14,14,112,Int8,14,14,672,Int8,1,1,1,75264,Int8,1,1,1,"BN, Swish",Conv_36,1,2.95E-02,1.26E-01,7.18E-02
Conv_DW_38,Convolution_DW,14,14,672,Int8,14,14,672,Int8,5,5,1,672,Int8,1,1,672,"BN, Swish",Conv_37,1,6.59E-03,1.26E-01,1.60E-02
AvgPool_39_1,AvgPool,14,14,672,Int8,1,1,672,Int8,,,,,Int8,1,1,1,,Conv_DW_38,,,,
Conv_39_1,Convolution,1,1,672,Int8,1,1,28,Int8,1,1,1,18816,Int8,1,1,1,"BN, Swish",AvgPool_39_1,1,3.76E-05,2.67E-05,1.79E-02
Conv_39_2,Convolution,1,1,28,Int8,1,1,672,Int8,1,1,1,18816,Int8,1,1,1,BN ,Conv_39_1,1,3.76E-05,6.41E-04,1.79E-02
Sigmoid_39,Sigmoid,1,1,672,Int8,1,1,672,Int8,,,,,Int8,,,,,Conv_39_2,,,,
BroadCast Mul_39,BroadCast_Mul,1,1,672,Int8,14,14,672,Int8,,,,,Int8,,,,,"Sigmoid_39, Conv_DW_38",,,,
Conv_40,Convolution,14,14,672,Int8,14,14,112,Int8,1,1,1,75264,Int8,1,1,1,BN,BroadCast Mul_39,1,2.95E-02,2.09E-02,7.18E-02
Add_40,Add,14,14,112,Int8,14,14,112,Int8,,,,,Int8,,,,,"Conv_40, Conv_36",,,,
Conv_41,Convolution,14,14,112,Int8,14,14,672,Int8,1,1,1,75264,Int8,1,1,1,"BN, Swish",Add_40,1,2.95E-02,1.26E-01,7.18E-02
Conv_DW_42,Convolution_DW,14,14,672,Int8,14,14,672,Int8,5,5,1,672,Int8,1,1,672,"BN, Swish",Conv_41,1,6.59E-03,1.26E-01,1.60E-02
AvgPool_43_1,AvgPool,14,14,672,Int8,1,1,672,Int8,,,,,Int8,1,1,1,,Conv_DW_42,,,,
Conv_43_1,Convolution,1,1,672,Int8,1,1,28,Int8,1,1,1,18816,Int8,1,1,1,"BN, Swish",AvgPool_43_1,1,3.76E-05,2.67E-05,1.79E-02
Conv_43_2,Convolution,1,1,28,Int8,1,1,672,Int8,1,1,1,18816,Int8,1,1,1,BN ,Conv_43_1,1,3.76E-05,6.41E-04,1.79E-02
Sigmoid_43,Sigmoid,1,1,672,Int8,1,1,672,Int8,,,,,Int8,,,,,Conv_43_2,,,,
BroadCast Mul_43,BroadCast_Mul,1,1,672,Int8,14,14,672,Int8,,,,,Int8,,,,,"Sigmoid_26, Conv_DW_25",,,,
Conv_44,Convolution,14,14,672,Int8,14,14,112,Int8,1,1,1,75264,Int8,1,1,1,BN,BroadCast Mul_43,1,2.95E-02,2.09E-02,7.18E-02
Add_44,Add,14,14,112,Int8,14,14,112,Int8,,,,,Int8,,,,,"Conv_44, Conv_40",,,,
Conv_45,Convolution,14,14,112,Int8,14,14,672,Int8,1,1,1,75264,Int8,1,1,1,"BN, Swish",Add_44,1,2.95E-02,1.26E-01,7.18E-02
Conv_DW_46,Convolution_DW,14,14,672,Int8,7,7,672,Int8,5,5,1,672,Int8,2,2,672,"BN, Swish",Conv_45,1,1.65E-03,3.14E-02,1.60E-02
AvgPool_47_1,AvgPool,7,7,672,Int8,1,1,672,Int8,,,,,Int8,1,1,1,,Conv_DW_46,,,,
